action_mode,belief_mode,config,behavior,scenarios,success_rate,avg_convergence_rate,avg_convergence_step,avg_exec_time
greedy,bayesian,greedy_bayesian,hate_edge,385,0.7506493506493507,0.29915893217049944,9.100346020761245,0.37867645288442636
greedy,bayesian,greedy_bayesian,hate_wall,385,0.7454545454545455,0.30584725163564314,8.735191637630662,0.37338452524953075
greedy,bayesian,greedy_bayesian,like_edge,380,0.7,0.2950709203602937,7.954887218045113,0.4032268473976537
greedy,bayesian,greedy_bayesian,like_wall,385,0.7168831168831169,0.3070412795772484,7.927536231884058,0.3594682922610989
greedy,optimal,greedy_optimal,hate_edge,385,0.5558441558441558,0.2501481207737831,7.593457943925234,0.16020798187751273
greedy,optimal,greedy_optimal,hate_wall,385,0.561038961038961,0.25330266973799304,7.537037037037037,0.15604460022666236
greedy,optimal,greedy_optimal,like_edge,380,0.5815789473684211,0.25332498395872766,7.271493212669683,0.12970185844521773
greedy,optimal,greedy_optimal,like_wall,385,0.5558441558441558,0.25019702338779587,7.102803738317757,0.6674053346955932
greedy,uniform,greedy_uniform,hate_edge,385,0.01038961038961039,0.0024443413729128014,17.75,0.31720467914234507
greedy,uniform,greedy_uniform,hate_wall,385,0.01038961038961039,0.0024443413729128014,17.75,0.3113441498248608
greedy,uniform,greedy_uniform,like_edge,380,0.013157894736842105,0.004858231437178805,11.6,0.29820665748495806
greedy,uniform,greedy_uniform,like_wall,385,0.01038961038961039,0.0018058132343846628,14.0,0.3097688148548077
stay,bayesian,stay_bayesian,hate_edge,385,0.3974025974025974,0.18005245602165765,7.032679738562091,0.583868898664202
stay,bayesian,stay_bayesian,hate_wall,385,0.4025974025974026,0.18670593184628667,6.864516129032258,6.210044035973487
stay,bayesian,stay_bayesian,like_edge,380,0.38421052631578945,0.1859947373706398,6.068493150684931,0.5326650732441952
stay,bayesian,stay_bayesian,like_wall,385,0.412987012987013,0.19213733541315958,6.578616352201258,0.542231238972057
stay,optimal,stay_optimal,hate_edge,385,0.36363636363636365,0.16771708962420492,6.742857142857143,0.1412434726566463
stay,optimal,stay_optimal,hate_wall,385,0.36883116883116884,0.17315444947307768,6.605633802816901,0.13763807594002064
stay,optimal,stay_optimal,like_edge,380,0.37105263157894736,0.17124221436653994,6.191489361702128,0.12247536558853951
stay,optimal,stay_optimal,like_wall,385,0.37922077922077924,0.17248310806620804,6.561643835616438,0.127646964556211
stay,uniform,stay_uniform,hate_edge,385,0.01038961038961039,0.001559317875107349,14.25,0.4877063144337047
stay,uniform,stay_uniform,hate_wall,385,0.01038961038961039,0.001559317875107349,14.25,0.4768274449682855
stay,uniform,stay_uniform,like_edge,380,0.007894736842105263,0.0016329284750337383,11.666666666666666,0.4396370868933828
stay,uniform,stay_uniform,like_wall,385,0.01038961038961039,0.0017415917415917418,13.5,0.45661218506949286
random,bayesian,random_bayesian,hate_edge,385,0.37142857142857144,0.15188223715069257,8.307692307692308,0.5579055086358801
random,bayesian,random_bayesian,hate_wall,385,0.37662337662337664,0.16094141052279318,7.924137931034482,0.5519000901804342
random,bayesian,random_bayesian,like_edge,380,0.3526315789473684,0.15410029314204293,7.350746268656716,0.5223939682307996
random,bayesian,random_bayesian,like_wall,385,0.3948051948051948,0.172245802864083,7.368421052631579,0.5388141762126576
random,optimal,random_optimal,hate_edge,385,0.3246753246753247,0.13674708163968333,8.136,0.13190663263395233
random,optimal,random_optimal,hate_wall,385,0.3142857142857143,0.14130650957300872,7.148760330578512,0.12211273862169933
random,optimal,random_optimal,like_edge,380,0.34210526315789475,0.1519272947470144,6.969230769230769,0.11090111481515981
random,optimal,random_optimal,like_wall,385,0.36883116883116884,0.1535084759936462,7.809859154929577,0.12093725452175386
random,uniform,random_uniform,hate_edge,385,0.005194805194805195,0.0013611102855954115,15.5,0.4694127262412728
random,uniform,random_uniform,hate_wall,385,0.007792207792207792,0.0016977508706832016,17.0,0.45075375197769757
random,uniform,random_uniform,like_edge,380,0.007894736842105263,0.0019067405355493998,13.666666666666666,0.42931159295533833
random,uniform,random_uniform,like_wall,385,0.012987012987012988,0.0028031320821289476,15.6,0.6280836291127391
