hidden_cost_style,size,initial_distance,total_steps,total_steps,total_steps,scenario_id
,,,mean,std,count,count
hate_edge,10,3,8.0,3.5688712648767758,20,20
hate_edge,10,5,10.55,5.114221657094532,20,20
hate_edge,10,7,11.35,3.616846547390202,20,20
hate_edge,12,3,13.25,5.3200217648941415,20,20
hate_edge,12,5,10.05,4.310025033508933,20,20
hate_edge,12,7,13.7,8.609052762858651,20,20
hate_edge,15,3,15.4,9.051897155031268,20,20
hate_edge,15,5,14.1,7.4119391595764705,20,20
hate_edge,15,7,18.05,11.278647735293541,20,20
hate_wall,10,3,8.0,3.5688712648767758,20,20
hate_wall,10,5,10.4,4.988407614290937,20,20
hate_wall,10,7,11.35,3.616846547390202,20,20
hate_wall,12,3,13.15,5.2643288171177955,20,20
hate_wall,12,5,10.05,4.310025033508933,20,20
hate_wall,12,7,13.6,8.5187100580212,20,20
hate_wall,15,3,15.2,8.918343013433782,20,20
hate_wall,15,5,13.75,7.202886848158065,20,20
hate_wall,15,7,17.75,11.134937903071718,20,20
like_edge,10,3,7.85,2.814903943392441,20,20
like_edge,10,5,10.5,4.861232245775594,20,20
like_edge,10,7,11.7,4.053588403793412,20,20
like_edge,12,3,11.75,5.784507439340835,20,20
like_edge,12,5,10.5,4.513138714091511,20,20
like_edge,12,7,11.95,6.999812027551356,20,20
like_edge,15,3,13.2,7.810923525153058,20,20
like_edge,15,5,14.6,7.996051657240789,20,20
like_edge,15,7,16.05,12.483568147136879,20,20
like_wall,10,3,7.85,2.7198103649064636,20,20
like_wall,10,5,10.45,4.957450533235172,20,20
like_wall,10,7,11.35,3.5433406776507868,20,20
like_wall,12,3,12.2,4.618042419626923,20,20
like_wall,12,5,9.95,4.2485291572496005,20,20
like_wall,12,7,11.6,6.3858395977679425,20,20
like_wall,15,3,14.6,8.834144285846701,20,20
like_wall,15,5,13.85,7.407499755759628,20,20
like_wall,15,7,17.35,11.230948781216828,20,20
