size,layout_id,initial_distance,scenario_id,hidden_cost_type,hidden_cost_style,base_grid,hidden_cost,goals,goal,observer_pos,target_pos,observer_dir,target_dir,all_actions,trajectory_length,eval_success,eval_convergence_step,eval_execution_time,visibility_ratio,visibility_changes,visible_steps,total_trajectory_steps,visibility_history,final_confidence,max_confidence_reached,cache_hit_rate,cache_hits,cache_misses,cache_size
10,0,3,0,0,like_wall,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 1.0, 10.0, 10.0, 10.0, 1.0, 10.0, 10.0], [10.0, 10.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 10.0, 10.0], [10.0, 10.0, 1.0, 2.0, 1.0, 1.0, 10.0, 1.0, 1.0, 10.0], [10.0, 1.0, 10.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 10.0, 10.0, 10.0], [10.0, 10.0, 1.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(6), np.int64(8)), (np.int64(2), np.int64(7)), (np.int64(3), np.int64(2))]","(np.int64(3), np.int64(2))","(np.int64(8), np.int64(3))","(np.int64(8), np.int64(6))",1,2,"[2, 1, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2]",12,False,-1.0,0.1389913558959961,0.3333333333333333,2.0,4.0,12.0,"[False, False, False, False, True, True, True, True, False, False, False, False]",0.3348121176610095,0.3348121176610096,0.0,0.0,0.0,0.0
10,0,3,0,1,hate_wall,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 0.5, 10.0, 10.0, 10.0, 0.5, 10.0, 10.0], [10.0, 10.0, 0.5, 0.3333333333333333, 0.5, 10.0, 0.5, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.5, 10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 10.0, 10.0], [10.0, 10.0, 0.5, 0.3333333333333333, 0.5, 0.5, 10.0, 0.5, 0.5, 10.0], [10.0, 0.5, 10.0, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 10.0, 10.0, 10.0], [10.0, 10.0, 0.5, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(6), np.int64(8)), (np.int64(2), np.int64(7)), (np.int64(3), np.int64(2))]","(np.int64(3), np.int64(2))","(np.int64(8), np.int64(3))","(np.int64(8), np.int64(6))",1,2,"[2, 1, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2]",12,False,-1.0,0.10989737510681152,0.16666666666666666,4.0,2.0,12.0,"[False, False, False, False, True, False, False, True, False, False, False, False]",0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0
10,0,3,0,2,like_edge,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 1.0, 10.0, 10.0, 10.0, 1.0, 10.0, 10.0], [10.0, 10.0, 2.0, 2.0, 2.0, 10.0, 2.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 3.0, 10.0, 3.0, 3.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 3.0, 4.0, 4.0, 3.0, 2.0, 10.0, 10.0], [10.0, 10.0, 2.0, 3.0, 4.0, 4.0, 10.0, 2.0, 1.0, 10.0], [10.0, 1.0, 10.0, 3.0, 10.0, 3.0, 3.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 10.0, 10.0, 10.0], [10.0, 10.0, 1.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(6), np.int64(8)), (np.int64(2), np.int64(7)), (np.int64(3), np.int64(2))]","(np.int64(3), np.int64(2))","(np.int64(8), np.int64(3))","(np.int64(8), np.int64(6))",1,2,"[2, 1, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2]",12,False,-1.0,0.13412261009216309,0.16666666666666666,2.0,2.0,12.0,"[False, False, False, False, False, True, True, False, False, False, False, False]",0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0
10,0,3,0,3,hate_edge,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 0.5, 10.0, 10.0, 10.0, 0.5, 10.0, 10.0], [10.0, 10.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 10.0, 0.3333333333333333, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.25, 10.0, 0.25, 0.25, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.2, 0.25, 0.3333333333333333, 10.0, 10.0], [10.0, 10.0, 0.3333333333333333, 0.25, 0.2, 0.2, 10.0, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 10.0, 0.25, 10.0, 0.25, 0.25, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 10.0, 10.0, 10.0], [10.0, 10.0, 0.5, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(6), np.int64(8)), (np.int64(2), np.int64(7)), (np.int64(3), np.int64(2))]","(np.int64(3), np.int64(2))","(np.int64(8), np.int64(3))","(np.int64(8), np.int64(6))",1,2,"[2, 1, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2]",12,False,-1.0,0.11399459838867188,0.4166666666666667,2.0,5.0,12.0,"[False, False, False, False, False, True, True, True, True, True, False, False]",0.3333961888599059,0.3341553637484587,0.0,0.0,0.0,0.0
10,0,3,1,0,like_wall,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 1.0, 10.0, 10.0, 10.0, 1.0, 10.0, 10.0], [10.0, 10.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 10.0, 10.0], [10.0, 10.0, 1.0, 2.0, 1.0, 1.0, 10.0, 1.0, 1.0, 10.0], [10.0, 1.0, 10.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 10.0, 10.0, 10.0], [10.0, 10.0, 1.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(1), np.int64(3)), (np.int64(3), np.int64(5)), (np.int64(3), np.int64(7))]","(np.int64(3), np.int64(7))","(np.int64(8), np.int64(6))","(np.int64(8), np.int64(3))",3,3,"[0, 2, 0, 2, 2, 2, 1, 2, 0, 2, 1, 2, 2, 2]",14,False,-1.0,0.11900901794433594,0.35714285714285715,6.0,5.0,14.0,"[False, False, False, False, True, True, True, False, True, False, False, False, True, False]",0.33443869685862077,0.3344386968586208,0.0,0.0,0.0,0.0
10,0,3,1,1,hate_wall,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 0.5, 10.0, 10.0, 10.0, 0.5, 10.0, 10.0], [10.0, 10.0, 0.5, 0.3333333333333333, 0.5, 10.0, 0.5, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.5, 10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 10.0, 10.0], [10.0, 10.0, 0.5, 0.3333333333333333, 0.5, 0.5, 10.0, 0.5, 0.5, 10.0], [10.0, 0.5, 10.0, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 10.0, 10.0, 10.0], [10.0, 10.0, 0.5, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(1), np.int64(3)), (np.int64(3), np.int64(5)), (np.int64(3), np.int64(7))]","(np.int64(3), np.int64(7))","(np.int64(8), np.int64(6))","(np.int64(8), np.int64(3))",3,3,"[0, 2, 2, 2, 0, 2, 2, 1, 2, 2, 0, 2, 2]",13,False,-1.0,0.2635931968688965,0.0,0.0,0.0,13.0,"[False, False, False, False, False, False, False, False, False, False, False, False, False]",0.33521267571388297,0.33533184888529766,0.0,0.0,0.0,0.0
10,0,3,1,2,like_edge,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 1.0, 10.0, 10.0, 10.0, 1.0, 10.0, 10.0], [10.0, 10.0, 2.0, 2.0, 2.0, 10.0, 2.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 3.0, 10.0, 3.0, 3.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 3.0, 4.0, 4.0, 3.0, 2.0, 10.0, 10.0], [10.0, 10.0, 2.0, 3.0, 4.0, 4.0, 10.0, 2.0, 1.0, 10.0], [10.0, 1.0, 10.0, 3.0, 10.0, 3.0, 3.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 10.0, 10.0, 10.0], [10.0, 10.0, 1.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(1), np.int64(3)), (np.int64(3), np.int64(5)), (np.int64(3), np.int64(7))]","(np.int64(3), np.int64(7))","(np.int64(8), np.int64(6))","(np.int64(8), np.int64(3))",3,3,"[0, 2, 0, 2, 2, 2, 1, 2, 0, 2, 1, 2, 2, 2]",14,False,-1.0,0.12798404693603516,0.5,4.0,7.0,14.0,"[False, False, False, False, True, True, True, False, True, True, True, True, False, False]",0.3333609286752394,0.3333609286752396,0.0,0.0,0.0,0.0
10,0,3,1,3,hate_edge,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 0.5, 10.0, 10.0, 10.0, 0.5, 10.0, 10.0], [10.0, 10.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 10.0, 0.3333333333333333, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.25, 10.0, 0.25, 0.25, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.2, 0.25, 0.3333333333333333, 10.0, 10.0], [10.0, 10.0, 0.3333333333333333, 0.25, 0.2, 0.2, 10.0, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 10.0, 0.25, 10.0, 0.25, 0.25, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 10.0, 10.0, 10.0], [10.0, 10.0, 0.5, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(1), np.int64(3)), (np.int64(3), np.int64(5)), (np.int64(3), np.int64(7))]","(np.int64(3), np.int64(7))","(np.int64(8), np.int64(6))","(np.int64(8), np.int64(3))",3,3,"[0, 2, 2, 2, 0, 2, 2, 1, 2, 2, 0, 2, 2]",13,False,-1.0,0.30361270904541016,0.0,0.0,0.0,13.0,"[False, False, False, False, False, False, False, False, False, False, False, False, False]",0.33364188454440075,0.33364188454440075,0.0,0.0,0.0,0.0
10,0,3,2,0,like_wall,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 1.0, 10.0, 10.0, 10.0, 1.0, 10.0, 10.0], [10.0, 10.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 2.0, 1.0, 10.0], [10.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 10.0, 10.0], [10.0, 10.0, 1.0, 2.0, 1.0, 1.0, 10.0, 1.0, 1.0, 10.0], [10.0, 1.0, 10.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 10.0, 10.0, 10.0], [10.0, 10.0, 1.0, 1.0, 10.0, 1.0, 1.0, 1.0, 1.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(5), np.int64(5)), (np.int64(7), np.int64(5)), (np.int64(4), np.int64(3))]","(np.int64(4), np.int64(3))","(np.int64(5), np.int64(6))","(np.int64(8), np.int64(6))",0,0,"[0, 2, 0, 2, 1, 2, 2, 0, 2, 2, 2]",11,False,-1.0,0.030935287475585938,0.2727272727272727,3.0,3.0,11.0,"[True, False, False, True, True, False, False, False, False, False, False]",0.3730871994170518,0.3730871994170518,0.0,0.0,0.0,0.0
10,0,3,2,1,hate_wall,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 0.5, 10.0, 10.0, 10.0, 0.5, 10.0, 10.0], [10.0, 10.0, 0.5, 0.3333333333333333, 0.5, 10.0, 0.5, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.5, 10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 10.0], [10.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 10.0, 10.0], [10.0, 10.0, 0.5, 0.3333333333333333, 0.5, 0.5, 10.0, 0.5, 0.5, 10.0], [10.0, 0.5, 10.0, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 10.0, 10.0, 10.0], [10.0, 10.0, 0.5, 0.5, 10.0, 0.5, 0.5, 0.5, 0.5, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[(np.int64(5), np.int64(5)), (np.int64(7), np.int64(5)), (np.int64(4), np.int64(3))]","(np.int64(4), np.int64(3))","(np.int64(5), np.int64(6))","(np.int64(8), np.int64(6))",0,0,"[0, 2, 0, 2, 1, 2, 2, 0, 2, 2, 2]",11,False,-1.0,0.01961970329284668,0.5454545454545454,1.0,6.0,11.0,"[True, True, True, True, True, True, False, False, False, False, False]",0.5,0.5,0.0,0.0,0.0,0.0
